PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"17595563","Viewpoint: IRBs, hospital ethics committees, and the need for ""translational informed consent""","May T, Craig JM, Spellecy R.","Acad Med. 2007 Jul;82(7):670-4. doi: 10.1097/ACM.0b013e31806743ef.","May T","Acad Med","2007","2007/06/28","","","10.1097/ACM.0b013e31806743ef"
"30777619","A hospital wide predictive model for unplanned readmission using hierarchical ICD data","Deschepper M, Eeckloo K, Vogelaers D, Waegeman W.","Comput Methods Programs Biomed. 2019 May;173:177-183. doi: 10.1016/j.cmpb.2019.02.007. Epub 2019 Feb 13.","Deschepper M","Comput Methods Programs Biomed","2019","2019/02/20","","","10.1016/j.cmpb.2019.02.007"
"29569021","Assessing oral health-related quality of life in children and adolescents: a systematic review and standardized comparison of available instruments","Zaror C, Pardo Y, Espinoza-Espinoza G, Pont À, Muñoz-Millán P, Martínez-Zapata MJ, Vilagut G, Forero CG, Garin O, Alonso J, Ferrer M.","Clin Oral Investig. 2019 Jan;23(1):65-79. doi: 10.1007/s00784-018-2406-1. Epub 2018 Mar 22.","Zaror C","Clin Oral Investig","2019","2018/03/24","","","10.1007/s00784-018-2406-1"
"28295522","Effects of Progressive Hypoventilation on Left Ventricular Appearance: An Alternative Etiology of Acute Sonographic Short-Axis D-Shaping","Ringgård VK, Sørensen AH, Wemmelund KB, Sloth E, Juhl-Olsen P.","J Ultrasound Med. 2017 Jul;36(7):1321-1328. doi: 10.7863/ultra.16.07019. Epub 2017 Mar 15.","Ringgård VK","J Ultrasound Med","2017","2017/03/16","","","10.7863/ultra.16.07019"
"30990004","How to use the International Classification of Functioning, Disability and Health as a reference system for comparative evaluation and standardized reporting of rehabilitation interventions","Stucki G, Pollock A, Engkasan JP, Selb M.","Eur J Phys Rehabil Med. 2019 Jun;55(3):384-394. doi: 10.23736/S1973-9087.19.05808-8. Epub 2019 Apr 15.","Stucki G","Eur J Phys Rehabil Med","2019","2019/04/17","","","10.23736/S1973-9087.19.05808-8"
"34719752","Health-Economic Analyses of Diagnostics: Guidance on Design and Reporting","van der Pol S, Rojas Garcia P, Antoñanzas Villar F, Postma MJ, van Asselt ADI.","Pharmacoeconomics. 2021 Dec;39(12):1355-1363. doi: 10.1007/s40273-021-01104-8. Epub 2021 Nov 1.","van der Pol S","Pharmacoeconomics","2021","2021/11/01","PMC8599388","","10.1007/s40273-021-01104-8"
"31014231","Identifying heterogeneous health profiles of primary care utilizers and their differential healthcare utilization and mortality - a retrospective cohort study","Yan S, Seng BJJ, Kwan YH, Tan CS, Quah JHM, Thumboo J, Low LL.","BMC Fam Pract. 2019 Apr 23;20(1):54. doi: 10.1186/s12875-019-0939-2.","Yan S","BMC Fam Pract","2019","2019/04/25","PMC6477732","","10.1186/s12875-019-0939-2"
"17700914","The human factors engineering approach to biomedical informatics projects: state of the art, results, benefits and challenges","Beuscart-Zéphir MC, Elkin P, Pelayo S, Beuscart R.","Yearb Med Inform. 2007:109-27.","Beuscart-Zéphir MC","Yearb Med Inform","2007","2007/12/06","","",""
"31546906","Early Autism Screening: A Comprehensive Review","Thabtah F, Peebles D.","Int J Environ Res Public Health. 2019 Sep 19;16(18):3502. doi: 10.3390/ijerph16183502.","Thabtah F","Int J Environ Res Public Health","2019","2019/09/25","PMC6765988","","10.3390/ijerph16183502"
"34818611","Multi-scale semi-supervised clustering of brain images: Deriving disease subtypes","Wen J, Varol E, Sotiras A, Yang Z, Chand GB, Erus G, Shou H, Abdulkadir A, Hwang G, Dwyer DB, Pigoni A, Dazzan P, Kahn RS, Schnack HG, Zanetti MV, Meisenzahl E, Busatto GF, Crespo-Facorro B, Rafael RG, Pantelis C, Wood SJ, Zhuo C, Shinohara RT, Fan Y, Gur RC, Gur RE, Satterthwaite TD, Koutsouleris N, Wolf DH, Davatzikos C; Alzheimer's Disease Neuroimaging Initiative.","Med Image Anal. 2022 Jan;75:102304. doi: 10.1016/j.media.2021.102304. Epub 2021 Nov 11.","Wen J","Med Image Anal","2022","2021/11/24","PMC8678373","NIHMS1760118","10.1016/j.media.2021.102304"
"30245663","A Bayesian Network Model for Predicting Post-stroke Outcomes With Available Risk Factors","Park E, Chang HJ, Nam HS.","Front Neurol. 2018 Sep 7;9:699. doi: 10.3389/fneur.2018.00699. eCollection 2018.","Park E","Front Neurol","2018","2018/09/25","PMC6137617","","10.3389/fneur.2018.00699"
"21974941","Operational conditions: legal capacity of a patient soldier refusing medical treatment","Kelly JC.","Nurs Ethics. 2011 Nov;18(6):825-34. doi: 10.1177/0969733011408044. Epub 2011 Oct 5.","Kelly JC","Nurs Ethics","2011","2011/10/07","","","10.1177/0969733011408044"
"31901507","LATTE: A knowledge-based method to normalize various expressions of laboratory test results in free text of Chinese electronic health records","Jiang K, Yang T, Wu C, Chen L, Mao L, Wu Y, Deng L, Jiang T.","J Biomed Inform. 2020 Feb;102:103372. doi: 10.1016/j.jbi.2019.103372. Epub 2019 Dec 31.","Jiang K","J Biomed Inform","2020","2020/01/06","","","10.1016/j.jbi.2019.103372"
"35021138","Phonetic posteriorgram-based voice conversion system to improve speech intelligibility of dysarthric patients","Zheng WZ, Han JY, Lee CK, Lin YY, Chang SH, Lai YH.","Comput Methods Programs Biomed. 2022 Mar;215:106602. doi: 10.1016/j.cmpb.2021.106602. Epub 2021 Dec 26.","Zheng WZ","Comput Methods Programs Biomed","2022","2022/01/12","","","10.1016/j.cmpb.2021.106602"
"16023890","Evaluation of the MagNA Pure LC used with the TRUGENE HBV Genotyping Kit","Gintowt AA, Germer JJ, Mitchell PS, Yao JD.","J Clin Virol. 2005 Oct;34(2):155-7. doi: 10.1016/j.jcv.2005.05.008.","Gintowt AA","J Clin Virol","2005","2005/07/19","","","10.1016/j.jcv.2005.05.008"
"34428867","[Modelling the spread of influenza A]","Arnal A, Ottmann M, Garnier R.","Virologie (Montrouge). 2011 Dec 1;15(6):363-370. doi: 10.1684/vir.2011.0424.","Arnal A","Virologie (Montrouge)","2011","2021/08/25","","","10.1684/vir.2011.0424"
"17091561","Compensated kidney donation: an ethical review of the Iranian model","Bagheri A.","Kennedy Inst Ethics J. 2006 Sep;16(3):269-82. doi: 10.1353/ken.2006.0017.","Bagheri A","Kennedy Inst Ethics J","2006","2006/11/10","","","10.1353/ken.2006.0017"
"30931291","Do Women With High eHealth Literacy Profit More From a Decision Aid on Mammography Screening? Testing the Moderation Effect of the eHEALS in a Randomized Controlled Trial","Reder M, Soellner R, Kolip P.","Front Public Health. 2019 Mar 12;7:46. doi: 10.3389/fpubh.2019.00046. eCollection 2019.","Reder M","Front Public Health","2019","2019/04/02","PMC6424024","","10.3389/fpubh.2019.00046"
"32979777","A salutogenic perspective on sport-for-development research","Super S, Verkooijen K, Koelen M.","Soc Sci Med. 2021 Jan;268:113376. doi: 10.1016/j.socscimed.2020.113376. Epub 2020 Sep 17.","Super S","Soc Sci Med","2021","2020/09/26","","","10.1016/j.socscimed.2020.113376"
"35069951","Cervical Cancer Prognosis and Diagnosis Using Electrical Impedance Spectroscopy","Li P, Highfield PE, Lang ZQ, Kell D.","J Electr Bioimpedance. 2021 Dec 27;12(1):153-162. doi: 10.2478/joeb-2021-0018. eCollection 2021 Jan.","Li P","J Electr Bioimpedance","2021","2022/01/24","PMC8713385","","10.2478/joeb-2021-0018"
"34630816","IDENTIFYING MAIN EFFECTS AND INTERACTIONS AMONG EXPOSURES USING GAUSSIAN PROCESSES","Ferrari F, Dunson DB.","Ann Appl Stat. 2020 Dec;14(4):1743-1758. doi: 10.1214/20-aoas1363. Epub 2020 Dec 19.","Ferrari F","Ann Appl Stat","2020","2021/10/11","PMC8500234","NIHMS1662905","10.1214/20-aoas1363"
"34839820","Understanding the complexity of sepsis mortality prediction via rule discovery and analysis: a pilot study","Wu Y, Huang S, Chang X.","BMC Med Inform Decis Mak. 2021 Nov 28;21(1):334. doi: 10.1186/s12911-021-01690-9.","Wu Y","BMC Med Inform Decis Mak","2021","2021/11/29","PMC8628441","","10.1186/s12911-021-01690-9"
"17945878","Archetype-based semantic integration and standardization of clinical data","Moner D, Maldonado JA, Bosca D, Fernandez JT, Angulo C, Crespo P, Vivancos PJ, Robles M.","Conf Proc IEEE Eng Med Biol Soc. 2006;2006:5141-4. doi: 10.1109/IEMBS.2006.260124.","Moner D","Conf Proc IEEE Eng Med Biol Soc","2006","2007/10/20","","","10.1109/IEMBS.2006.260124"
"16000175","Chiropractic as spine care: a model for the profession","Nelson CF, Lawrence DJ, Triano JJ, Bronfort G, Perle SM, Metz RD, Hegetschweiler K, LaBrot T.","Chiropr Osteopat. 2005 Jul 6;13:9. doi: 10.1186/1746-1340-13-9.","Nelson CF","Chiropr Osteopat","2005","2005/07/08","PMC1185558","","10.1186/1746-1340-13-9"
"22047160","Translational research to develop a human PBPK models tool kit-volatile organic compounds (VOCs)","Mumtaz MM, Ray M, Crowell SR, Keys D, Fisher J, Ruiz P.","J Toxicol Environ Health A. 2012;75(1):6-24. doi: 10.1080/15287394.2012.625546.","Mumtaz MM","J Toxicol Environ Health A","2012","2011/11/04","","","10.1080/15287394.2012.625546"
"33240479","Prescribing cascades in persons with Alzheimer's disease: engaging patients, caregivers, and providers in a qualitative evaluation of print educational materials","Bloomstone S, Anzuoni K, Cocoros N, Gurwitz JH, Haynes K, Nair VP, Platt R, Rochon PA, Singh S, Mazor KM.","Ther Adv Drug Saf. 2020 Oct 30;11:2042098620968310. doi: 10.1177/2042098620968310. eCollection 2020.","Bloomstone S","Ther Adv Drug Saf","2020","2020/11/26","PMC7675869","","10.1177/2042098620968310"
"30914687","Physiological Association between Limb Ballistocardiogram and Arterial Blood Pressure Waveforms: A Mathematical Model-Based Analysis","Yousefian P, Shin S, Mousavi AS, Kim CS, Finegan B, McMurtry MS, Mukkamala R, Jang DG, Kwon U, Kim YH, Hahn JO.","Sci Rep. 2019 Mar 26;9(1):5146. doi: 10.1038/s41598-019-41537-y.","Yousefian P","Sci Rep","2019","2019/03/28","PMC6435670","","10.1038/s41598-019-41537-y"
"27774195","Back to first principles: a new model for the regulation of drug promotion","Bennett A, Jiménez F, Fields LE, Oyster J.","J Law Biosci. 2015 Apr 26;2(2):168-212. doi: 10.1093/jlb/lsv014. eCollection 2015 Jul.","Bennett A","J Law Biosci","2015","2015/04/26","PMC5034376","","10.1093/jlb/lsv014"
"35225333","A Bayesian spatio-temporal nowcasting model for public health decision-making and surveillance","Kline D, Hyder A, Liu E, Rayo M, Malloy S, Root E.","Am J Epidemiol. 2022 Feb 28:kwac034. doi: 10.1093/aje/kwac034. Online ahead of print.","Kline D","Am J Epidemiol","2022","2022/02/28","","","10.1093/aje/kwac034"
"20471885","Towards a multidimensional patient reported outcome measures assessment: development and validation of a questionnaire for patients with ankylosing spondylitis/spondyloarthritis","El Miedany Y, El Gaafary M, Youssef S, Palmer D.","Joint Bone Spine. 2010 Dec;77(6):575-81. doi: 10.1016/j.jbspin.2010.02.017. Epub 2010 May 15.","El Miedany Y","Joint Bone Spine","2010","2010/05/18","","","10.1016/j.jbspin.2010.02.017"
"30170101","A Deep Look Into the Future of Quantitative Imaging in Oncology: A Statement of Working Principles and Proposal for Change","Morin O, Vallières M, Jochems A, Woodruff HC, Valdes G, Braunstein SE, Wildberger JE, Villanueva-Meyer JE, Kearney V, Yom SS, Solberg TD, Lambin P.","Int J Radiat Oncol Biol Phys. 2018 Nov 15;102(4):1074-1082. doi: 10.1016/j.ijrobp.2018.08.032. Epub 2018 Aug 28.","Morin O","Int J Radiat Oncol Biol Phys","2018","2018/09/01","","","10.1016/j.ijrobp.2018.08.032"
"34423071","Lung nodule malignancy classification with weakly supervised explanation generation","Joshi A, Sivaswamy J, Joshi GD.","J Med Imaging (Bellingham). 2021 Jul;8(4):044502. doi: 10.1117/1.JMI.8.4.044502. Epub 2021 Aug 18.","Joshi A","J Med Imaging (Bellingham)","2021","2021/08/23","PMC8370883","","10.1117/1.JMI.8.4.044502"
"34506269","Ten Open Challenges in Medical Visualization","Gillmann C, Smit NN, Groller E, Preim B, Vilanova A, Wischgoll T, Rhyne TM.","IEEE Comput Graph Appl. 2021 Sep-Oct;41(5):7-15. doi: 10.1109/MCG.2021.3094858.","Gillmann C","IEEE Comput Graph Appl","2021","2021/09/10","","","10.1109/MCG.2021.3094858"
"20703517","A rule-based clinical decision model to support interpretation of multiple data in health examinations","Kuo KL, Fuh CS.","J Med Syst. 2011 Dec;35(6):1359-73. doi: 10.1007/s10916-009-9413-3. Epub 2009 Dec 15.","Kuo KL","J Med Syst","2011","2010/08/13","","","10.1007/s10916-009-9413-3"
"24379193","Monitoring risk-adjusted medical outcomes allowing for changes over time","Steiner SH, Mackay RJ.","Biostatistics. 2014 Oct;15(4):665-76. doi: 10.1093/biostatistics/kxt057. Epub 2013 Dec 29.","Steiner SH","Biostatistics","2014","2014/01/01","","","10.1093/biostatistics/kxt057"
"29254443","Decision making and uncertainty quantification for individualized treatments using Bayesian Additive Regression Trees","Logan BR, Sparapani R, McCulloch RE, Laud PW.","Stat Methods Med Res. 2019 Apr;28(4):1079-1093. doi: 10.1177/0962280217746191. Epub 2017 Dec 18.","Logan BR","Stat Methods Med Res","2019","2017/12/20","PMC6028324","NIHMS947675","10.1177/0962280217746191"
"23177024","Automated generation of patient-tailored electronic care pathways by translating computer-interpretable guidelines into hierarchical task networks","González-Ferrer A, ten Teije A, Fdez-Olivares J, Milian K.","Artif Intell Med. 2013 Feb;57(2):91-109. doi: 10.1016/j.artmed.2012.08.008. Epub 2012 Nov 21.","González-Ferrer A","Artif Intell Med","2013","2012/11/27","","","10.1016/j.artmed.2012.08.008"
"32483270","Effect of congenital adrenal hyperplasia treated by glucocorticoids on plasma metabolome: a machine-learning-based analysis","Nguyen LS, Prifti E, Ichou F, Leban M, Funck-Brentano C, Touraine P, Salem JE, Bachelot A.","Sci Rep. 2020 Jun 1;10(1):8859. doi: 10.1038/s41598-020-65897-y.","Nguyen LS","Sci Rep","2020","2020/06/03","PMC7264133","","10.1038/s41598-020-65897-y"
"30560325","Statistical principle-based approach for gene and protein related object recognition","Lai PT, Huang MS, Yang TH, Hsu WL, Tsai RT.","J Cheminform. 2018 Dec 17;10(1):64. doi: 10.1186/s13321-018-0314-7.","Lai PT","J Cheminform","2018","2018/12/19","PMC6755615","","10.1186/s13321-018-0314-7"
"30148250","Patients' experience of recurrent/metastatic head and neck squamous cell carcinoma and their perspective on the EORTC QLQ-C30 and QLQ-H&N35 questionnaires: a qualitative study","Degboe A, Knight SL, Halling K, Trigg A, Al-Zubeidi T, Aldhouse N, Kitchen H, Wirth L, Rogers SN.","J Patient Rep Outcomes. 2018 Aug 1;2:33. doi: 10.1186/s41687-018-0060-7. eCollection 2017.","Degboe A","J Patient Rep Outcomes","2018","2018/08/28","PMC6092741","","10.1186/s41687-018-0060-7"
"34156964","Evaluation of a Parsimonious COVID-19 Outbreak Prediction Model: Heuristic Modeling Approach Using Publicly Available Data Sets","Gupta AK, Grannis SJ, Kasthurirathne SN.","J Med Internet Res. 2021 Jul 26;23(7):e28812. doi: 10.2196/28812.","Gupta AK","J Med Internet Res","2021","2021/06/22","PMC8315156","","10.2196/28812"
"28116551","Tensor Factorization for Precision Medicine in Heart Failure with Preserved Ejection Fraction","Luo Y, Ahmad FS, Shah SJ.","J Cardiovasc Transl Res. 2017 Jun;10(3):305-312. doi: 10.1007/s12265-016-9727-8. Epub 2017 Jan 23.","Luo Y","J Cardiovasc Transl Res","2017","2017/01/25","PMC5515683","NIHMS846018","10.1007/s12265-016-9727-8"
"32324138","Spoken Animated Self-Management Video Messages Aimed at Improving Physical Activity in People With Type 2 Diabetes: Development and Interview Study","van Het Schip C, Cheung KL, Vluggen S, Hoving C, Schaper NC, de Vries H.","J Med Internet Res. 2020 Apr 23;22(4):e15397. doi: 10.2196/15397.","van Het Schip C","J Med Internet Res","2020","2020/04/24","PMC7206523","","10.2196/15397"
"34285316","Predicting critical state after COVID-19 diagnosis: model development using a large US electronic health record dataset","Rinderknecht MD, Klopfenstein Y.","NPJ Digit Med. 2021 Jul 20;4(1):113. doi: 10.1038/s41746-021-00482-9.","Rinderknecht MD","NPJ Digit Med","2021","2021/07/21","PMC8292360","","10.1038/s41746-021-00482-9"
"26363769","Causal mediation analysis with a latent mediator","Albert JM, Geng C, Nelson S.","Biom J. 2016 May;58(3):535-48. doi: 10.1002/bimj.201400124. Epub 2015 Sep 13.","Albert JM","Biom J","2016","2015/09/14","PMC5745043","NIHMS928850","10.1002/bimj.201400124"
"28332823","From Dual-Mode Triboelectric Nanogenerator to Smart Tactile Sensor: A Multiplexing Design","Li T, Zou J, Xing F, Zhang M, Cao X, Wang N, Wang ZL.","ACS Nano. 2017 Apr 25;11(4):3950-3956. doi: 10.1021/acsnano.7b00396. Epub 2017 Mar 23.","Li T","ACS Nano","2017","2017/03/24","","","10.1021/acsnano.7b00396"
"28396041","Association of Holter-Derived Heart Rate Variability Parameters With the Development of Congestive Heart Failure in the Cardiovascular Health Study","Patel VN, Pierce BR, Bodapati RK, Brown DL, Ives DG, Stein PK.","JACC Heart Fail. 2017 Jun;5(6):423-431. doi: 10.1016/j.jchf.2016.12.015. Epub 2017 Apr 5.","Patel VN","JACC Heart Fail","2017","2017/04/12","PMC5851278","NIHMS947068","10.1016/j.jchf.2016.12.015"
"33064953","A Novel Model to Estimate Key Obstructive Sleep Apnea Endotypes from Standard Polysomnography and Clinical Data and Their Contribution to Obstructive Sleep Apnea Severity","Dutta R, Delaney G, Toson B, Jordan AS, White DP, Wellman A, Eckert DJ.","Ann Am Thorac Soc. 2021 Apr;18(4):656-667. doi: 10.1513/AnnalsATS.202001-064OC.","Dutta R","Ann Am Thorac Soc","2021","2020/10/16","PMC8008997","","10.1513/AnnalsATS.202001-064OC"
"29430069","Conditional Spectral Analysis of Replicated Multiple Time Series with Application to Nocturnal Physiology","Krafty RT, Rosen O, Stoffer DS, Buysse DJ, Hall MH.","J Am Stat Assoc. 2017;112(520):1405-1416. doi: 10.1080/01621459.2017.1281811. Epub 2017 Jan 20.","Krafty RT","J Am Stat Assoc","2017","2018/02/13","PMC5805231","NIHMS916876","10.1080/01621459.2017.1281811"
"16542255","A model framework for mortality and health data classified by age, area, and time","Congdon P.","Biometrics. 2006 Mar;62(1):269-78. doi: 10.1111/j.1541-0420.2005.00419.x.","Congdon P","Biometrics","2006","2006/03/18","","","10.1111/j.1541-0420.2005.00419.x"
"22417403","Mining geriatric assessment data for in-patient fall prediction models and high-risk subgroups","Marschollek M, Gövercin M, Rust S, Gietzelt M, Schulze M, Wolf KH, Steinhagen-Thiessen E.","BMC Med Inform Decis Mak. 2012 Mar 14;12:19. doi: 10.1186/1472-6947-12-19.","Marschollek M","BMC Med Inform Decis Mak","2012","2012/03/16","PMC3314576","","10.1186/1472-6947-12-19"
"34998516","Continuous action deep reinforcement learning for propofol dosing during general anesthesia","Schamberg G, Badgeley M, Meschede-Krasa B, Kwon O, Brown EN.","Artif Intell Med. 2022 Jan;123:102227. doi: 10.1016/j.artmed.2021.102227. Epub 2021 Dec 2.","Schamberg G","Artif Intell Med","2022","2022/01/09","","","10.1016/j.artmed.2021.102227"
"34769845","Using a Mobile Application for Health Communication to Facilitate a Sense of Coherence: Experiences of Older Persons with Cognitive Impairment","Piculell E, Skär L, Sanmartin Berglund J, Anderberg P, Bohman D.","Int J Environ Res Public Health. 2021 Oct 28;18(21):11332. doi: 10.3390/ijerph182111332.","Piculell E","Int J Environ Res Public Health","2021","2021/11/13","PMC8583217","","10.3390/ijerph182111332"
"18230814","Psychometric evaluation of condition-specific instruments used to assess health-related quality of life, attitudes, and related constructs in stuttering","Franic DM, Bothe AK.","Am J Speech Lang Pathol. 2008 Feb;17(1):60-80. doi: 10.1044/1058-0360(2008/006).","Franic DM","Am J Speech Lang Pathol","2008","2008/01/31","","","10.1044/1058-0360(2008/006)"
"20953428","Law's Dilemma: Validating Complementary and Alternative Medicine and the Clash of Evidential Paradigms","Iyioha I.","Evid Based Complement Alternat Med. 2011;2011:389518. doi: 10.1155/2011/389518. Epub 2010 Sep 21.","Iyioha I","Evid Based Complement Alternat Med","2011","2010/10/19","PMC2952302","","10.1155/2011/389518"
"26958174","Modeling a Nursing Guideline with Standard Terminology and Unified Modeling Language for a Nursing Decision Support System: A Case Study","Choi J, Jansen K, Coenen A.","AMIA Annu Symp Proc. 2015 Nov 5;2015:426-33. eCollection 2015.","Choi J","AMIA Annu Symp Proc","2015","2016/03/10","PMC4765648","",""
"29100517","Preventative health, diversity, and inclusion: a qualitative study of client experience aboard a mobile health clinic in Boston, Massachusetts","Bouchelle Z, Rawlins Y, Hill C, Bennet J, Perez LX, Oriol N.","Int J Equity Health. 2017 Nov 3;16(1):191. doi: 10.1186/s12939-017-0688-6.","Bouchelle Z","Int J Equity Health","2017","2017/11/05","PMC5670702","","10.1186/s12939-017-0688-6"
"35148971","Fact Boxes: What gets through? A focus group study","Aubertin P, Hinneburg J, Hille L, Steckelberg A.","Z Evid Fortbild Qual Gesundhwes. 2022 Feb 8:S1865-9217(22)00004-6. doi: 10.1016/j.zefq.2021.12.011. Online ahead of print.","Aubertin P","Z Evid Fortbild Qual Gesundhwes","2022","2022/02/12","","","10.1016/j.zefq.2021.12.011"
"17425244","Structure analysis of Antonovsky's sense of coherence from an epidemiological mental health survey with a brief nine-item sense of coherence scale","Klepp OM, Mastekaasa A, Sørensen T, Sandanger I, Kleiner R.","Int J Methods Psychiatr Res. 2007;16(1):11-22. doi: 10.1002/mpr.197.","Klepp OM","Int J Methods Psychiatr Res","2007","2007/04/12","PMC6878461","","10.1002/mpr.197"
"17328954","Development of an aggregate Air Quality Index for an urban Mediterranean agglomeration: relation to potential health effects","Kyrkilis G, Chaloulakou A, Kassomenos PA.","Environ Int. 2007 Jul;33(5):670-6. doi: 10.1016/j.envint.2007.01.010. Epub 2007 Feb 27.","Kyrkilis G","Environ Int","2007","2007/03/03","","","10.1016/j.envint.2007.01.010"
"21894156","Update on the harmonisation of disability data collection in UK surveys (part 1)","White C.","Health Stat Q. 2011 Autumn;(51):3-30. doi: 10.1057/hsq.2011.12.","White C","Health Stat Q","2011","2011/09/07","","","10.1057/hsq.2011.12"
"18673511","Implementation of the Business Process Modelling Notation (BPMN) in the modelling of anatomic pathology processes","Rojo MG, Rolón E, Calahorra L, García FO, Sánchez RP, Ruiz F, Ballester N, Armenteros M, Rodríguez T, Espartero RM.","Diagn Pathol. 2008 Jul 15;3 Suppl 1(Suppl 1):S22. doi: 10.1186/1746-1596-3-S1-S22.","Rojo MG","Diagn Pathol","2008","2008/08/05","PMC2500103","","10.1186/1746-1596-3-S1-S22"
"33115543","Safety and Efficacy of Imatinib for Hospitalized Adults with COVID-19: A structured summary of a study protocol for a randomised controlled trial","Emadi A, Chua JV, Talwani R, Bentzen SM, Baddley J.","Trials. 2020 Oct 28;21(1):897. doi: 10.1186/s13063-020-04819-9.","Emadi A","Trials","2020","2020/10/29","PMC7594416","","10.1186/s13063-020-04819-9"
"27435615","Interpretable per case weighted ensemble method for cancer associations","Jalali A, Pfeifer N.","BMC Genomics. 2016 Jul 19;17:501. doi: 10.1186/s12864-016-2647-9.","Jalali A","BMC Genomics","2016","2016/07/21","PMC4952276","","10.1186/s12864-016-2647-9"
"35224479","Regulating Ruminative Web Browsing Based on the Counterbalance Modeling Approach","Morita J, Pitakchokchai T, Raj GB, Yamamoto Y, Yuhashi H, Koguchi T.","Front Artif Intell. 2022 Feb 11;5:741610. doi: 10.3389/frai.2022.741610. eCollection 2022.","Morita J","Front Artif Intell","2022","2022/02/28","PMC8874268","","10.3389/frai.2022.741610"
"34957473","PAC Bayesian Performance Guarantees for Deep (Stochastic) Networks in Medical Imaging","Sicilia A, Zhao X, Sosnovskikh A, Hwang SJ.","Med Image Comput Comput Assist Interv. 2021 Sep-Oct;12903:560-570. doi: 10.1007/978-3-030-87199-4_53. Epub 2021 Sep 21.","Sicilia A","Med Image Comput Comput Assist Interv","2021","2021/12/27","PMC8702021","NIHMS1760019","10.1007/978-3-030-87199-4_53"
"18079764","Characterization of PM2.5, gaseous pollutants, and meteorological interactions in the context of time-series health effects models","Ito K, Thurston GD, Silverman RA.","J Expo Sci Environ Epidemiol. 2007 Dec;17 Suppl 2:S45-60. doi: 10.1038/sj.jes.7500627.","Ito K","J Expo Sci Environ Epidemiol","2007","2008/02/27","","","10.1038/sj.jes.7500627"
"32741055","Bayesian network to predict hepatitis B surface antigen seroclearance in chronic hepatitis B patients","Huang Y, Li X, Zheng X, Tian X, Yu M, Sha L, Liu Y, Chong Y, Hao Y, You X.","J Viral Hepat. 2020 Dec;27(12):1326-1337. doi: 10.1111/jvh.13368. Epub 2020 Sep 23.","Huang Y","J Viral Hepat","2020","2020/08/03","","","10.1111/jvh.13368"
"23617448","Evaluation of culturally appropriate health counselling to prevent lifestyle-related diseases and its modification for practical use as the new ABC model of culturally appropriate counselling for Japanese public health nurses","Marutani M, Tamura S, Miyazaki M, Amamiya Y.","Int J Nurs Pract. 2013 Apr;19 Suppl 2:39-49. doi: 10.1111/ijn.12043.","Marutani M","Int J Nurs Pract","2013","2013/04/27","","","10.1111/ijn.12043"
"19135343","Model of experts for decision support in the diagnosis of leukemia patients","Corchado JM, De Paz JF, Rodríguez S, Bajo J.","Artif Intell Med. 2009 Jul;46(3):179-200. doi: 10.1016/j.artmed.2008.12.001. Epub 2009 Jan 8.","Corchado JM","Artif Intell Med","2009","2009/01/13","","","10.1016/j.artmed.2008.12.001"
"33431794","Hard for humans, hard for machines: predicting readmission after psychiatric hospitalization using narrative notes","Boag W, Kovaleva O, McCoy TH Jr, Rumshisky A, Szolovits P, Perlis RH.","Transl Psychiatry. 2021 Jan 11;11(1):32. doi: 10.1038/s41398-020-01104-w.","Boag W","Transl Psychiatry","2021","2021/01/12","PMC7801508","","10.1038/s41398-020-01104-w"
"31929521","VAMPr: VAriant Mapping and Prediction of antibiotic resistance via explainable features and machine learning","Kim J, Greenberg DE, Pifer R, Jiang S, Xiao G, Shelburne SA, Koh A, Xie Y, Zhan X.","PLoS Comput Biol. 2020 Jan 13;16(1):e1007511. doi: 10.1371/journal.pcbi.1007511. eCollection 2020 Jan.","Kim J","PLoS Comput Biol","2020","2020/01/14","PMC7015433","","10.1371/journal.pcbi.1007511"
"35243479","Auto-CORPus: A Natural Language Processing Tool for Standardizing and Reusing Biomedical Literature","Beck T, Shorter T, Hu Y, Li Z, Sun S, Popovici CM, McQuibban NAR, Makraduli F, Yeung CS, Rowlands T, Posma JM.","Front Digit Health. 2022 Feb 15;4:788124. doi: 10.3389/fdgth.2022.788124. eCollection 2022.","Beck T","Front Digit Health","2022","2022/03/04","PMC8885717","","10.3389/fdgth.2022.788124"
"34395694","On the relationship between COVID-19 reported fatalities early in the pandemic and national socio-economic status predating the pandemic","Foster KL, Selvitella AM.","AIMS Public Health. 2021 May 24;8(3):439-455. doi: 10.3934/publichealth.2021034. eCollection 2021.","Foster KL","AIMS Public Health","2021","2021/08/16","PMC8334639","","10.3934/publichealth.2021034"
"19326255","Structure of the sense of coherence scale in a nationally representative sample: the Finnish Health 2000 survey","Bernabé E, Tsakos G, Watt RG, Suominen-Taipale AL, Uutela A, Vahtera J, Kivimäki M.","Qual Life Res. 2009 Jun;18(5):629-36. doi: 10.1007/s11136-009-9469-z. Epub 2009 Mar 28.","Bernabé E","Qual Life Res","2009","2009/03/28","","","10.1007/s11136-009-9469-z"
